ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
255,John Henson,C,27,76,25.9,54,15,0.128,158,0.57,495,0.578,,,8.8,668.8,6.8,1.5,0.59,1.43,1.11,Mil,58.5106383,83,229,115.7,102.2
256,John Holland,PF,24,9,3.5,7.3,21.1,0.202,,,,,,,1,9,1,0.3,0.22,0,0.33,Uta,37.87878788,77,205,84.6,108.9
257,John Wall,PG,27,41,34.4,71.6,29.1,0.17,241,0.726,500,0.436,167,0.371,19.4,795.4,3.7,9.6,1.39,1.1,3.85,Was,51.44623823,76,210,104.8,107.1
258,Johnathan Motley,C,20,17,7.182352941,14.96323529,18.3,0.153411765,,,,,,,2.094117647,35.6,2.223529412,0.564705882,0.24,0.357647059,0.470588235,Por,42.38095238,82,230,106.5,100.7
259,Johnny O'Bryant III,SG,24,7,9.1,18.9,15,0.096,,,,,,,2.9,20.3,1,0.4,0.29,0,0.29,Dal,53.76059322,81,257,99,98.4
260,Jon Leuer,SF,27,1,5.3,11,16.9,0,,,,,,,2,2,1,0,0,0,0,Bos,50,82,228,100.2,97.9
261,Jonas Jerebko,PF,30,74,15.3,31.9,15.6,0.069,57,0.807,184,0.511,157,0.414,5.8,429.2,3.3,0.6,0.32,0.16,0.36,Uta,58.62106643,82,231,118.3,95.3
262,Jonas Valanciunas,C,25,77,22.4,46.7,22.7,0.127,211,0.806,614,0.586,74,0.405,12.7,977.9,8.6,1.1,0.38,0.9,1.48,Tor,62.61846217,84,255,120,95.1
263,Jonathan Gibson,PF,22,33,7.1,14.8,15.7,0.145,,,,,37,0.324,2.4,79.2,1.6,0.5,0.12,0.15,0.36,Bos,56.02716469,74,185,122,97.7
264,Jonathan Isaac,C,19,11,2.7,5.6,20.4,0.147,,,,,,,1.2,13.2,0.8,0,0.09,0.27,0.18,Ind,56.70103093,82,210,87.7,102
